Cost 61
Edges 61
E 517 5
E 524 8
E 501 13
E 543 1
E 507 2
E 534 1
E 547 1
E 522 3
E 508 1
E 503 9
E 530 13
E 548 2
E 537 6
E 505 2
E 532 1
E 503 6
E 505 9
E 545 1
E 503 34
E 511 1
E 515 1
E 542 2
E 526 1
E 519 3
E 510 3
E 501 3
E 528 4
E 523 2
E 516 2
E 501 34
E 550 1
E 509 1
E 536 2
E 538 3
E 513 1
E 529 6
E 540 3
E 533 1
E 549 14
E 506 5
E 544 1
E 508 8
E 539 6
E 521 2
E 514 2
E 541 2
E 505 7
E 527 1
E 518 1
E 502 3
E 504 9
E 531 1
E 508 2
E 535 2
E 546 1
E 501 4
E 503 14
E 512 1
E 503 5
E 525 1
E 520 7
