Cost 149
Edges 99
E 106 6
E 92 2
E 61 1
E 35 5
E 24 4
E 350 50
E 908 8
E 63 3
E 3 1
E 88 8
E 81 1
E 40 10
E 803 3
E 959 59
E 51 1
E 44 4
E 424 24
E 372 72
E 83 3
E 161 61
E 80 10
E 25 5
E 580 80
E 11 1
E 2 1
E 532 32
E 100 10
E 74 4
E 475 75
E 437 37
E 609 9
E 686 86
E 50 10
E 75 5
E 527 27
E 795 95
E 334 34
E 45 5
E 744 44
E 611 11
E 8 1
E 97 7
E 72 2
E 10 1
E 442 42
E 53 3
E 851 51
E 47 7
E 7 1
E 722 22
E 594 94
E 32 2
E 325 25
E 9 1
E 213 13
E 94 4
E 777 77
E 66 6
E 653 53
E 13 3
E 27 7
E 889 89
E 500 100
E 201 1
E 22 2
E 6 1
E 545 45
E 77 7
E 95 5
E 668 68
E 86 6
E 56 6
E 818 18
E 58 8
E 397 97
E 42 2
E 30 10
E 269 69
E 69 9
E 5 1
E 158 58
E 916 16
E 19 9
E 37 7
E 288 88
E 981 81
E 740 40
E 89 9
E 866 66
E 16 6
E 59 9
E 18 8
E 963 63
E 34 4
E 68 8
E 119 19
E 183 83
E 256 56
E 4 1
