Cost 14383
Edges 115
E 161 155
E 59 32
E 178 175
E 41 14
E 202 175
E 165 84
E 5 4
E 135 129
E 98 92
E 196 34
E 17 11
E 69 67
E 200 191
E 43 16
E 69 60
E 102 101
E 192 165
E 183 181
E 158 77
E 48 21
E 160 154
E 67 40
E 74 65
E 84 83
E 88 7
E 68 67
E 22 19
E 176 167
E 26 17
E 206 203
E 77 59
E 35 29
E 134 116
E 216 215
E 53 52
E 237 210
E 206 44
E 215 206
E 47 46
E 5 2
E 200 119
E 161 160
E 151 124
E 207 198
E 85 82
E 174 172
E 59 5
E 229 67
E 154 73
E 155 74
E 124 121
E 147 93
E 179 176
E 98 97
E 101 83
E 48 47
E 180 174
E 110 29
E 124 97
E 161 152
E 42 39
E 16 7
E 56 55
E 43 34
E 199 37
E 87 84
E 35 32
E 2 1
E 120 119
E 202 40
E 79 52
E 212 209
E 207 201
E 209 191
E 39 37
E 83 82
E 137 56
E 146 119
E 181 100
E 120 93
E 156 129
E 147 138
E 198 192
E 68 59
E 173 172
E 102 21
E 234 180
E 156 147
E 73 55
E 152 151
E 199 172
E 76 73
E 42 41
E 174 165
E 116 35
E 179 98
E 21 19
E 143 116
E 33 30
E 103 100
E 234 153
E 146 137
E 76 22
E 173 11
E 88 85
E 90 87
E 85 4
E 134 53
E 30 29
E 15 14
E 101 100
E 203 176
E 138 136
E 224 143
E 216 210
