Cost 191
Edges 191
E 3 35
E 11 27
E 26 154
E 14 46
E 22 54
E 62 190
E 27 155
E 59 123
E 1 3
E 50 114
E 16 80
E 4 20
E 5 37
E 15 79
E 56 120
E 17 49
E 110 238
E 118 246
E 55 119
E 5 13
E 57 185
E 19 51
E 2 18
E 10 42
E 3 7
E 8 136
E 62 126
E 4 68
E 15 31
E 23 55
E 8 24
E 39 103
E 2 130
E 71 199
E 18 82
E 34 98
E 128 256
E 29 61
E 13 77
E 21 85
E 15 143
E 88 216
E 2 6
E 43 171
E 75 203
E 5 133
E 8 72
E 58 122
E 2 4
E 17 145
E 33 161
E 12 44
E 20 52
E 5 21
E 38 102
E 30 94
E 7 71
E 64 128
E 9 73
E 25 57
E 2 10
E 63 127
E 83 211
E 99 227
E 27 59
E 11 75
E 14 30
E 29 157
E 16 32
E 26 90
E 17 81
E 33 97
E 24 56
E 60 124
E 92 220
E 123 251
E 32 96
E 48 112
E 80 208
E 89 217
E 105 233
E 45 109
E 53 117
E 51 179
E 19 83
E 56 184
E 74 202
E 35 99
E 14 78
E 22 86
E 119 247
E 10 26
E 2 34
E 29 93
E 13 45
E 21 53
E 37 101
E 15 47
E 104 232
E 1 65
E 36 100
E 68 196
E 28 92
E 39 167
E 32 160
E 48 176
E 82 210
E 98 226
E 41 105
E 7 15
E 45 173
E 53 181
E 77 205
E 85 213
E 3 67
E 10 74
E 4 8
E 6 38
E 12 140
E 20 148
E 43 107
E 18 50
E 9 41
E 1 17
E 25 89
E 12 28
E 5 69
E 31 63
E 6 14
E 40 104
E 113 241
E 122 250
E 36 164
E 94 222
E 3 19
E 27 91
E 11 43
E 1 5
E 3 131
E 42 170
E 12 76
E 20 84
E 30 62
E 46 110
E 54 118
E 7 39
E 16 48
E 1 2
E 125 253
E 49 113
E 8 16
E 60 188
E 1 9
E 70 198
E 2 66
E 6 22
E 51 115
E 95 223
E 26 58
E 42 106
E 24 88
E 111 239
E 3 11
E 4 36
E 14 142
E 13 29
E 22 150
E 108 236
E 116 244
E 23 87
E 32 64
E 101 229
E 61 125
E 4 12
E 65 193
E 38 166
E 6 70
E 50 178
E 9 137
E 7 23
E 63 191
E 8 40
E 31 95
E 9 25
E 1 33
E 47 111
E 28 60
E 44 108
E 52 116
E 23 151
E 57 121
