Cost 41777
Edges 414
E 118 374
E 65 81
E 182 438
E 187 251
E 62 318
E 18 274
E 19 275
E 193 201
E 196 452
E 10 138
E 215 471
E 164 168
E 455 487
E 84 92
E 15 47
E 321 322
E 35 39
E 220 476
E 317 445
E 337 465
E 177 241
E 333 334
E 276 280
E 335 463
E 297 425
E 275 276
E 329 457
E 231 239
E 22 24
E 152 216
E 86 342
E 232 488
E 104 360
E 329 330
E 210 466
E 109 237
E 453 485
E 299 427
E 258 262
E 205 237
E 341 373
E 486 488
E 463 495
E 375 376
E 5 133
E 444 508
E 300 304
E 314 442
E 469 477
E 64 192
E 297 299
E 366 368
E 343 351
E 473 505
E 69 85
E 234 236
E 341 469
E 237 493
E 295 311
E 152 408
E 74 202
E 54 62
E 286 318
E 237 239
E 268 332
E 87 343
E 498 502
E 387 419
E 49 113
E 363 379
E 275 279
E 148 152
E 421 437
E 45 109
E 143 399
E 26 58
E 237 253
E 68 72
E 189 190
E 141 157
E 416 448
E 132 136
E 265 297
E 98 100
E 228 236
E 4 132
E 167 423
E 495 511
E 391 455
E 90 122
E 435 499
E 138 394
E 209 213
E 229 230
E 428 492
E 490 506
E 281 409
E 264 392
E 411 412
E 450 466
E 117 118
E 91 92
E 399 415
E 21 22
E 309 317
E 282 286
E 302 304
E 116 244
E 147 179
E 224 256
E 168 424
E 392 400
E 65 193
E 1 257
E 281 313
E 451 455
E 59 123
E 137 201
E 395 411
E 405 437
E 5 261
E 280 312
E 417 433
E 157 221
E 293 309
E 17 25
E 142 144
E 427 431
E 130 386
E 105 361
E 311 312
E 302 430
E 462 464
E 91 123
E 169 185
E 329 345
E 17 18
E 112 128
E 294 302
E 101 229
E 234 238
E 314 378
E 259 260
E 14 46
E 260 276
E 452 468
E 436 444
E 371 372
E 205 207
E 209 241
E 156 188
E 316 380
E 348 476
E 97 353
E 80 336
E 18 82
E 18 26
E 129 133
E 280 288
E 126 128
E 432 448
E 165 167
E 221 223
E 272 336
E 435 436
E 91 219
E 39 167
E 185 187
E 198 214
E 456 488
E 141 397
E 231 247
E 75 107
E 194 196
E 203 235
E 481 489
E 339 340
E 449 453
E 466 474
E 73 201
E 459 463
E 398 400
E 264 328
E 91 347
E 62 190
E 398 430
E 65 321
E 135 199
E 41 42
E 368 384
E 425 489
E 115 116
E 42 170
E 469 501
E 464 496
E 333 335
E 6 14
E 50 52
E 289 291
E 16 272
E 242 498
E 39 40
E 13 77
E 51 307
E 395 399
E 141 205
E 1 5
E 218 250
E 129 161
E 124 128
E 408 416
E 165 421
E 37 293
E 449 465
E 47 303
E 262 278
E 199 231
E 25 281
E 353 369
E 386 388
E 144 160
E 187 443
E 414 416
E 211 215
E 45 46
E 331 459
E 87 88
E 79 207
E 3 259
E 151 215
E 120 128
E 41 57
E 357 485
E 139 203
E 197 198
E 302 318
E 281 345
E 366 382
E 38 46
E 90 218
E 303 319
E 115 119
E 271 272
E 155 411
E 69 101
E 19 147
E 506 510
E 214 222
E 81 113
E 400 432
E 278 342
E 203 219
E 202 234
E 296 360
E 387 403
E 2 18
E 168 176
E 411 475
E 39 103
E 199 215
E 115 243
E 12 268
E 173 189
E 135 136
E 379 380
E 211 243
E 104 232
E 101 103
E 200 208
E 129 131
E 38 102
E 15 79
E 2 10
E 149 405
E 3 67
E 171 427
E 194 226
E 284 288
E 152 184
E 68 76
E 473 475
E 19 23
E 161 169
E 336 464
E 228 484
E 137 139
E 171 175
E 98 106
E 26 28
E 285 413
E 417 418
E 270 302
E 177 433
E 27 283
E 49 51
E 130 194
E 114 122
E 97 101
E 82 338
E 8 136
E 328 456
E 69 71
E 322 326
E 92 220
E 81 337
E 428 432
E 108 112
E 376 504
E 274 282
E 227 235
E 334 462
E 216 224
E 139 140
E 491 492
E 22 150
E 105 106
E 268 300
E 443 507
E 8 16
E 332 364
E 104 120
E 197 213
E 144 208
E 191 192
E 323 324
E 413 415
E 66 74
E 502 510
E 85 213
E 35 291
E 499 507
E 156 160
E 292 296
E 26 90
E 141 173
E 178 182
E 167 175
E 115 371
E 210 242
E 401 402
E 153 217
E 11 75
E 52 308
E 397 413
E 353 354
E 455 456
E 34 50
E 298 302
E 175 191
E 50 58
E 284 316
E 119 375
E 61 317
E 74 106
E 478 480
E 306 308
E 283 347
E 373 374
E 257 321
E 67 323
E 85 93
E 118 120
E 363 364
E 355 363
E 230 238
E 69 77
E 26 154
E 381 382
E 72 80
E 286 350
E 27 31
E 178 242
E 25 57
E 14 30
E 423 439
E 387 395
E 166 168
E 378 380
E 149 181
E 145 153
E 7 135
E 71 327
E 194 450
E 340 344
E 230 246
E 273 281
E 460 464
E 227 228
E 309 373
E 78 80
E 233 235
E 119 127
E 385 401
E 121 123
E 296 424
E 17 21
E 41 105
E 45 301
E 6 262
E 378 382
E 367 495
E 470 478
E 44 108
E 85 87
E 72 200
E 390 398
E 23 55
E 385 449
E 66 194
E 328 344
E 342 470
E 11 12
E 217 218
E 88 96
